# x-coordinate, friction coefficient
-18.666017526777026, 0.006517053206002728
-12.020447906523856, 0.00628512960436562
-5.204479065238559, 0.0060259208731241465
3.315481986368056, 0.002055934515688949
6.723466407010704, 0.0012510231923601634
13.369036027263874, 0.0014147339699863573
16.94741966893865, 0.0014829467939972713
20.014605647517044, 0.0014147339699863573
23.59298928919182, 0.0012237380627557978
27.171372930866596, 0.0009645293315143242
30.57935735150926, 0.0007735334242837651
33.64654333008764, 0.0006643929058663027
40.292112950340794, 0.0005416098226466574
47.10808179162609, 0.0004597544338335606
54.26484907497567, 0.0004051841746248292
60.91041869522883, 0.0003915416098226464
67.72638753651412, 0.0003915416098226464

